Number of Sift features,8-point OpenCV,Alternative 3-point,8-point enhanced,Known rot and trans,Essential 5-point,5-point enhanced
100,20.5793,112.749,67.2559,3501.23,43.5866,63.66
500,100.584,220.722,112.7,14770.7,404.098,501.987
1000,265.637,640.895,295.152,27394.4,518.293,349.393
5000,517.189,1879.98,1087.78,93951.1,1949.53,1996.6
